da,s,meta_da,M_diff,M_ratio,c1,c1a,far,HR,meta_ca,t2ca_rS1,t2ca_rS2,S1units,logL,est_HR2_rS1,obs_HR2_rS1,est_FAR2_rS1,obs_FAR2_rS1,est_HR2_rS2,obs_HR2_rS2,est_FAR2_rS2,obs_FAR2_rS2,participant,degrees,condition,c,dprime,dprimea,ca,Hit Rate,False Alarm Rate
2.090151634104199,0.9914983030294465,1.4824803283549552,-0.6076713057492438,0.7092692722221177,0.15733106409426775,0.0779946093978036,0.13063063063063063,0.8333333333333334,0.05531917984482849,[-0.76670236 -0.21796003  0.03379813],[0.10926114 0.26341835 0.8938573 ],"{'d1': 2.099131863955105, 'meta_d1': 1.4888497294456948, 's': 0.9914983030294465, 'meta_c1': 0.05555685587850204, 't2c1_rS1': array([-0.76999646, -0.21889648,  0.03394335]), 't2c1_rS2': array([0.10973057, 0.26455011, 0.89769772])}",-216.04652497181166,"[0.9919870855485395, 0.8886652779243494, 0.6214631303689321]","[0.9883419689119171, 0.8730569948186528, 0.5919689119170984]","[0.9728233578982476, 0.6864364831849191, 0.269337769096881]","[0.9932432432432432, 0.7702702702702703, 0.38513513513513514]","[0.9770465219222163, 0.9072533590296613, 0.5840378266990028]","[0.977027027027027, 0.9216216216216216, 0.6175675675675676]","[0.927540789608293, 0.7386614032069025, 0.23733662247145512]","[0.9224137931034483, 0.6379310344827587, 0.07758620689655173]",16,10,NF,0.07987807387613427,0.8370404070426186,0.8334594908654063,0.07953635000648475,0.8363636363636363,0.12727272727272726
0.013927891145314031,1.073441917635261,-0.3636414099909965,-0.3775693011363105,-26.108863588680602,-0.2320226672682041,-0.12429724463979494,0.545045045045045,0.5540540540540541,3.245259804749267,[-0.77845229 -0.30769961  0.16159195],[3.4375198  3.55938433 3.81812932],"{'d1': 0.013459872733344827, 'meta_d1': -0.3514219811159016, 's': 1.073441917635261, 'meta_c1': 3.136209459338056, 't2c1_rS1': array([-0.75229399, -0.29735999,  0.15616198]), 't2c1_rS2': array([3.32200894, 3.43977847, 3.68982886])}",-277.61492108070513,"[0.4929586104214341, 0.318570500725212, 0.17697427490823725]","[0.4628712871287129, 0.3613861386138614, 0.2004950495049505]","[0.6392927099477085, 0.44813718537574465, 0.2680324041150316]","[0.6742424242424242, 0.4090909090909091, 0.24494949494949494]","[0.4596046772885048, 0.2753623363337363, 0.0882313674316755]","[0.47764227642276424, 0.26422764227642276, 0.06707317073170732]","[0.5383557174552822, 0.3575711897182883, 0.14365260788325016]","[0.518595041322314, 0.3677685950413223, 0.16735537190082644]",16,40,NF,-0.12566963386639834,1e-05,1.0347713846364802e-05,-0.13003934104269252,0.5545454545454546,0.5454545454545454
4.144186249459459,0.5013677617895749,3.2291726784695953,-0.9150135709898635,0.7792054903156893,1.466022055567425,0.3103047475853237,0.0037593984962406013,0.9736842105263158,0.24179116298950842,[-1.23411118 -0.49824556 -0.11395624],[0.28541812 0.68585913 1.59914286],"{'d1': 6.53823713891285, 'meta_d1': 5.094630275626837, 's': 0.5013677617895749, 'meta_c1': 0.38147126276603394, 't2c1_rS1': array([-1.94704366, -0.78607655, -0.17978751]), 't2c1_rS2': array([0.45030103, 1.08207242, 2.52295013])}",-222.27403060168385,"[0.9927353890361529, 0.9625386881484772, 0.7270744104672384]","[0.9990566037735849, 0.9679245283018868, 0.7254716981132076]","[0.6180846029269794, 0.34112071515517434, 0.08733667245297555]","[0.39285714285714285, 0.35714285714285715, 0.32142857142857145]","[0.9909687331433218, 0.8925743497630078, 0.5862201875459135]","[0.9913127413127413, 0.88996138996139, 0.5801158301158301]","[0.7996167653169188, 0.08348642978210107, 0.00011674269779869841]","[0.75, 0.5, 0.25]",17,30,NF,0.4474417152729291,6.411986753638112,4.064163897940479,0.2836057739222578,0.9772727272727273,0.001893939393939394
3.804123385991945,0.4377335758973896,2.700801388748474,-1.1033219972434711,0.7099668214479394,0.7834314727357121,0.13526645956627156,0.011278195488721804,0.9736842105263158,0.09603469834678204,[-1.11485962 -0.3475903  -0.14689093],[0.13158972 0.31312774 1.02679668],"{'d1': 6.7080598852032125, 'meta_d1': 4.7624999547801545, 's': 0.4377335758973896, 'meta_c1': 0.1693442725700811, 't2c1_rS1': array([-1.96590498, -0.61292874, -0.25902239]), 't2c1_rS2': array([0.23204077, 0.55215865, 1.81061783])}",-203.26312747737327,"[0.988405312377642, 0.9666942801889941, 0.664629007269084]","[0.9914448669201521, 0.967680608365019, 0.6625475285171103]","[0.7442641473715481, 0.5706128550353609, 0.17136889688479492]","[0.6785714285714286, 0.6428571428571429, 0.32142857142857145]","[0.9916708455790195, 0.9457732045698405, 0.7181747415636222]","[0.999034749034749, 0.9517374517374517, 0.7191119691119691]","[0.8338798847677781, 0.31175754374116704, 0.002572704363690486]","[0.25, 0.16666666666666666, 0.08333333333333333]",17,20,NF,0.21415675879314944,6.553149059278666,3.716273857852999,0.12144774321265264,0.9772727272727273,0.007575757575757576
4.425091051507191,0.5994614243846822,2.0476789981352113,-2.3774120533719794,0.46274279428392096,-1.481627313403522e-15,-4.0377218776935656e-16,0.011278195488721804,0.9887218045112782,-1.8684267042252404e-16,[-0.66769242 -0.07628325 -0.03854715],[0.0060879  0.10674812 0.72745924],"{'d1': 6.085724062183034, 'meta_d1': 2.8161249577754712, 's': 0.5994614243846822, 'meta_c1': -2.569603477075574e-16, 't2c1_rS1': array([-0.91826174, -0.10491057, -0.05301299]), 't2c1_rS2': array([0.00837254, 0.14680818, 1.00045766])}",-177.53670139893444,"[0.9911514302699481, 0.9818509623404235, 0.7473162516460311]","[0.9990494296577946, 0.9904942965779467, 0.7538022813688213]","[0.9560535601609393, 0.9142001457811831, 0.4092920227594752]","[0.25, 0.16666666666666666, 0.08333333333333333]","[0.9982450151613499, 0.9681648125039309, 0.7450067833326184]","[0.9990494296577946, 0.967680608365019, 0.7309885931558935]","[0.9845116303782305, 0.7540376951396788, 0.10066673323252456]","[0.9166666666666666, 0.8333333333333334, 0.75]",17,10,NF,-2.220446049250313e-16,6.95714594094993,5.058724965634368,-1.6145450964412361e-16,0.9924242424242424,0.007575757575757576
3.1702054893870084,0.8705250043772446,2.330067351632846,-0.8401381377541624,0.734989375115677,2.3293377916738094,1.0066071708793036,0.0037593984962406013,0.7406015037593985,0.7398455755115388,[-1.15874156 -0.48069558  0.173292  ],[1.38769783 2.2626678  2.91975176],"{'d1': 3.4141106989422054, 'meta_d1': 2.5093350891912785, 's': 0.8705250043772446, 'meta_c1': 0.7967668668088167, 't2c1_rS1': array([-1.24789134, -0.51767872,  0.18662452]), 't2c1_rS2': array([1.49446274, 2.43675004, 3.14438788])}",-312.45992647578083,"[0.9442397685196835, 0.7852281966131487, 0.5130213494848811]","[0.9764150943396226, 0.8018867924528302, 0.49150943396226415]","[0.5107327293268424, 0.17801489044809302, 0.042548250319402056]","[0.4166666666666667, 0.21014492753623187, 0.14855072463768115]","[0.6372201463860475, 0.2316836817034967, 0.07631549973532664]","[0.633248730964467, 0.22588832487309646, 0.07233502538071065]","[0.14854974143009578, 0.005544053169345399, 0.0002702895610411534]","[0.75, 0.5, 0.25]",17,40,NF,1.1222348466036807,2.7447875278692746,2.548698989387828,1.0420620140368217,0.7424242424242424,0.001893939393939394
0.3261504192698152,0.9049930813016713,0.3245248346543361,-0.0016255846154790698,0.9950158438578174,-2.2332439322989126,-1.0067703963846473,0.8153153153153153,0.8693693693693694,-1.001752495529739,[-3.05318363 -2.83974299 -1.81229412],[1.5751297  2.92188123 3.12875955],"{'d1': 0.3436968274380571, 'meta_d1': 0.341983788784533, 's': 0.9049930813016713, 'meta_c1': -1.0556452920175414, 't2c1_rS1': array([-3.21744038, -2.99251694, -1.90979285]), 't2c1_rS2': array([1.65986934, 3.07907411, 3.29708217])}",-70.7298492140205,"[0.21807141172436692, 0.012700071267836042, 0.006152945342621187]","[0.16463414634146342, 0.012195121951219513, 0.006097560975609756]","[0.22358449902274294, 0.01572209905353462, 0.008112745040116592]","[0.3017241379310345, 0.017241379310344827, 0.008620689655172414]","[0.10261935595790289, 0.004900932130102543, 0.0026935599600904727]","[0.10751295336787564, 0.0025906735751295338, 0.0012953367875647669]","[0.041339570369362394, 0.0007106074164956764, 0.0003228532824366926]","[0.03729281767955801, 0.0027624309392265192, 0.0013812154696132596]",20,30,F,-1.023918022236688,0.32469422954593047,0.308117941879986,-0.9716449661165475,0.8727272727272727,0.8181818181818182
-0.02916085620138124,1.1073977391398035,0.05340495964280161,0.08256581584418285,-1.8313920302611697,-1.9556314000420671,-1.0786188598265347,0.8513513513513513,0.8693693693693694,1.9753739835757052,[-2.40554121 -2.14340303 -0.59117652],[3.00235556 3.85172177 4.01674763],"{'d1': -0.02778282389302178, 'meta_d1': 0.05088124225582969, 's': 1.1073977391398035, 'meta_c1': 1.8820252440304268, 't2c1_rS1': array([-2.29186439, -2.04211387, -0.56323974]), 't2c1_rS2': array([2.86047554, 3.6697039 , 3.82693125])}",-63.91292437630051,"[0.3039380845722635, 0.022499989389409707, 0.012052982275159382]","[0.26515151515151514, 0.015151515151515152, 0.007575757575757576]","[0.2624525712121904, 0.011245812898850622, 0.005245645573883451]","[0.3017241379310345, 0.017241379310344827, 0.008620689655172414]","[0.0425364581570305, 0.0013686574535180548, 0.0006425582152517983]","[0.034974093264248704, 0.0025906735751295338, 0.0012953367875647669]","[0.06912400332518825, 0.0038923244150729027, 0.002071884415445632]","[0.07804232804232804, 0.0026455026455026454, 0.0013227513227513227]",20,20,F,-1.097753798026587,1e-05,1.049600152729816e-05,-1.1522025540684413,0.8727272727272727,0.8545454545454545
-0.066435356732837,0.8353617660695879,0.21627562250356652,0.28271097923640354,-3.25542953540984,-2.933328037996819,-1.2104758504510458,0.9144144144144144,0.8603603603603603,3.940618835458679,[-2.27081786 -1.9811387  -0.99667832],[4.55145628 5.25796269 5.39223401],"{'d1': -0.0732751454185323, 'meta_d1': 0.2385420726069411, 's': 0.8353617660695879, 'meta_c1': 4.346321483128606, 't2c1_rS1': array([-2.50460775, -2.18510494, -1.09929039]), 't2c1_rS2': array([5.02004712, 5.79929121, 5.94738632])}",-61.60042382374467,"[0.16353893592638313, 0.019422160226446977, 0.008531781830382935]","[0.25, 0.02631578947368421, 0.013157894736842105]","[0.15438526781493314, 0.027121067052406005, 0.01419673418019494]","[0.08870967741935484, 0.016129032258064516, 0.008064516129032258]","[0.10249613076027098, 0.005041895856080841, 0.002716232986472521]","[0.11910994764397906, 0.002617801047120419, 0.0013089005235602095]","[0.03453299648541527, 0.0004067356872858451, 0.00016356159736637777]","[0.023399014778325122, 0.0024630541871921183, 0.0012315270935960591]",20,10,F,-1.2448743794117627,0.16133416242104742,0.14627460064958048,-1.128672935569127,0.8636363636363636,0.9181818181818182
-0.2601569467778186,1.0346665665554011,-0.26566851371508254,-0.005511566937263956,1.0211855459003791,-1.9533542233977614,-1.0100952027871972,0.8693693693693694,0.8153153153153153,-1.031494621069598,[-3.07104528 -2.85772739 -2.04776336],[1.67799996 2.87411585 3.0859597 ],"{'d1': -0.25583578504230986, 'meta_d1': -0.2612558058092832, 's': 1.0346665665554011, 'meta_c1': -1.014361674430446, 't2c1_rS1': array([-3.02003575, -2.81026103, -2.01375037]), 't2c1_rS2': array([1.65012868, 2.82637728, 3.03470245])}",-58.81067603048126,"[0.12688691640742658, 0.012975986214477538, 0.006458812947277893]","[0.16379310344827586, 0.017241379310344827, 0.008620689655172414]","[0.14247834465612738, 0.015428420337440464, 0.007748947405973468]","[0.11585365853658537, 0.012195121951219513, 0.006097560975609756]","[0.03989296211939278, 0.0013522365333509098, 0.0006443454259403624]","[0.03729281767955801, 0.0027624309392265192, 0.0013812154696132596]","[0.07359965979552269, 0.0040182530398501564, 0.0021074681646699035]","[0.07642487046632124, 0.0025906735751295338, 0.0012953367875647669]",20,40,F,-1.023918022236688,1e-05,1.0168903726067647e-05,-1.0412123791510473,0.8181818181818182,0.8727272727272727
